date, pm25, pm10, o3, no2, so2, co
2024/5/6, 31, 26, 36, 26, 6, 12
2024/5/7, 50, 25, 23, 56, 5, 13
2024/5/8, 52, 23, 21, 20, 5, 1
2024/5/9, 53, 24, 24, 12, 6, 2
2024/5/10, 48, , , , , 
2024/5/12, 27, 22, 31, 30, 5, 9
2024/5/13, 32, , , , , 
2024/5/15, 44, 22, 16, 46, 6, 11
2024/5/16, 49, 33, 10, 59, , 13
2024/5/17, 64, 33, 26, 49, 5, 12
2024/5/18, 66, , , , , 
2024/5/20, 71, 45, 37, 30, 6, 13
2024/5/21, 65, 38, 26, 40, 5, 13
2024/5/22, 62, , , , , 
2024/5/24, 55, 20, 24, 25, 5, 12
2024/5/25, 53, , , , , 
2024/5/27, 56, , , , , 
2024/5/29, 46, , , , , 
2024/5/31, 47, , , , , 
2024/6/2, 61, 41, , 29, 5, 12
2024/6/3, 62, 34, , 39, 5, 14
2024/6/4, 68, 41, , 53, 6, 17
2024/6/5, 77, , , , , 
2024/6/7, 66, 22, 41, 41, 7, 13
2024/6/8, 125, 17, 30, 18, 5, 10
2024/6/9, 67, 19, 44, 46, 7, 13
2024/6/10, 68, 22, 33, 39, 5, 13
2024/6/11, 71, 39, 19, 32, 5, 13
2024/6/12, 200, , , , , 
2024/6/14, 80, , , , , 
2024/6/17, 40, 14, 39, , 9, 11
2024/6/18, 34, 20, 39, , 9, 
2024/1/1, 98, , , , , 
2024/1/3, 77, 24, 14, 16, 7, 2
2024/1/4, 63, 26, 15, 15, 8, 2
2024/1/5, 73, 37, 14, 15, 9, 3
2024/1/6, 91, 28, 14, , 7, 2
2024/1/7, 52, 18, 11, , 7, 2
2024/1/8, 48, 13, 9, 16, 8, 3
2024/1/9, 50, 15, , , 9, 2
2024/1/10, 37, 17, , , 8, 
2024/1/11, 22, 33, , , 9, 
2024/1/12, 60, 34, , , 8, 
2024/1/13, 46, 30, , , 10, 
2024/1/14, 46, 36, , , 7, 
2024/1/15, 81, , , , , 
2024/1/17, 90, 37, , 14, 8, 3
2024/1/18, 116, 24, , , 6, 2
2024/1/19, 57, 33, , 14, 8, 2
2024/1/20, 65, , , 17, 9, 2
2024/1/21, 71, 37, , , 6, 1
2024/1/23, 22, 37, 26, 23, 5, 
2024/1/24, 36, 37, 10, 42, 5, 
2024/1/25, 41, 37, 17, 42, 6, 4
2024/1/26, 76, 37, 9, 30, 6, 4
2024/1/27, 73, 37, 22, 17, 6, 2
2024/1/28, 43, , 16, 27, 4, 2
2024/1/29, 27, 37, 22, 14, 4, 2
2024/1/30, 19, 37, 24, 38, 3, 2
2024/1/31, 20, 37, 21, 29, 4, 2
2024/2/1, 25, , 24, 41, 6, 6
2024/2/2, 62, , 25, 40, , 
2024/2/3, 61, , , , , 
2024/2/6, 77, 37, 27, 30, 6, 2
2024/2/7, 71, , , , , 
2024/2/10, 63, , , , , 
2024/2/12, 46, 17, 27, 17, 8, 2
2024/2/13, 43, 41, 16, 28, 7, 5
2024/2/14, 68, 25, 10, 18, , 2
