date, pm25, pm10, o3, no2, so2, co,Station
2023-12-05, 86, 16, 11, 5, 2, 8,aliaga
2023-12-06, 109, 26, 8, 4, 3, 9,aliaga
2023-12-08, 79, 19, 16, 9, 2, 8,aliaga
2023-12-09, 56, 7, 9, 4, 1, 8,aliaga
2023-12-11, 145, 21, 13, 16, 4, 9,aliaga
2023-12-12, 158, 38, 10, 11, 3, 10,aliaga
2023-04-04, 23, 24, 20, 27, 9, 17,aliaga
2023-04-05, 19, 22, 20, 28, 9, 18,aliaga
2023-04-06, 15, 18, 19, 24, 6, 18,aliaga
2023-04-07, 20, 14, 23, 28, 6, 18,aliaga
2023-04-08, 21, 28, 25, 32, 11, 19,aliaga
2023-04-09, 30, 26, 24, 28, 7, 19,aliaga
2023-04-10, 35, 25, 19, 25, 6, 18,aliaga
2023-04-22, 22, 17, 24, 22, 1, 7,aliaga
2023-04-23, 23, 20, 23, 23, 5, 7,aliaga
2023-04-24, 23, 23, 22, 27, 4, 7,aliaga
2023-04-25, 20, 23, 23, 28, 1, 7,aliaga
2023-04-26, 20, 31, 22, 24, , 7,aliaga
2023-04-27, 16, 23, 20, 19, , 7,aliaga
2023-04-28, 15, 21, 22, 17, , 7,aliaga
2023-05-05, 20, 22, 18, 21, , 8,aliaga
2023-05-06, 22, 16, 25, 17, , 7,aliaga
2023-05-07, 18, 17, 24, 21, 6, 7,aliaga
2023-05-08, 21, 36, 24, 29, 5, 7,aliaga
2023-05-09, 24, 36, 22, 24, , 8,aliaga
2023-05-10, 28, 23, 19, 22, , 7,aliaga
2023-05-11, 27, 18, 19, 22, , 7,aliaga
2023-06-07, 33, 50, 25, 46, 12, 7,aliaga
2023-06-08, 33, 44, 24, 44, 7, 7,aliaga
2023-06-09, 30, 42, 27, 46, 11, 7,aliaga
2023-06-10, 28, 35, 26, 50, 11, 7,aliaga
2023-06-11, 23, 52, 26, 52, 15, 7,aliaga
2023-06-12, 24, 73, 27, 51, 1, 7,aliaga
2023-06-13, 23, 49, 22, 46, 9, 7,aliaga
2023-06-14, 22, 42, 20, 43, 7, 7,aliaga
2023-06-15, 19, 46, 28, 53, 13, 8,aliaga
2023-06-16, 26, 58, 26, 57, 9, 8,aliaga
2023-06-17, 25, 51, 23, 44, 3, 9,aliaga
2023-06-18, 25, 33, 21, 32, 1, 9,aliaga
2023-06-19, 24, 21, 23, 62, 10, 12,aliaga
2023-06-20, 22, 26, 24, 46, 4, 10,aliaga
2023-06-21, 6, 33, 27, 49, 1, 9,aliaga
2023-06-22, 1, 54, 30, 48, 1, 8,aliaga
2023-02-20, 28, 24, 23, 27, 6, 15,aliaga
2023-02-21, 32, 33, 22, , , 15,aliaga
2023-02-22, 35, 30, 23, 41, 8, 16,aliaga
2023-02-23, 34, 34, 23, 39, 7, 16,aliaga
2023-02-24, 41, 42, 20, 52, 8, 17,aliaga
2023-02-25, 34, 49, 22, 31, 6, 16,aliaga
2023-02-26, 23, 29, 23, 23, 8, 15,aliaga
2025-01-01, , 16, 17, 37, 6, 3,aliaga
2024-10-01, , 9, 21, 14, 4, 4,aliaga
2024-10-02, , 9, 30, 22, 7, 4,aliaga
2024-10-03, , 24, 27, 39, 3, 3,aliaga
2024-10-04, , 18, 19, 49, 3, 3,aliaga
2024-10-05, , 13, 18, 12, 2, 8,aliaga
2024-10-06, , 17, 25, 14, 3, 2,aliaga
2024-10-07, , 14, 22, 16, 4, 4,aliaga
2024-10-08, , 20, , , , ,aliaga
2024-10-10, , 12, 22, 14, 2, 6,aliaga
2024-10-11, , 15, 16, 14, 2, 6,aliaga
2024-10-12, , 17, 23, 9, 2, 8,aliaga
2024-10-13, , 21, 27, 9, 2, 8,aliaga
2024-10-14, , 19, 31, 10, 4, 7,aliaga
2024-10-15, , 17, 35, 11, 2, 7,aliaga
2024-10-16, , 22, , , , ,aliaga
2024-10-22, , 18, 30, 10, 4, 7,aliaga
2024-10-23, , 27, 33, 8, 3, 9,aliaga
2024-10-24, , 41, 32, 7, 2, 9,aliaga
2024-10-25, , 21, 24, 7, 5, 9,aliaga
2024-10-26, , 16, , , , ,aliaga
2024-10-28, , 34, 32, 8, 4, 9,aliaga
2024-10-29, , 30, 43, 6, 5, 11,aliaga
2024-10-30, , 21, 42, 5, 4, 12,aliaga
2024-10-31, , 20, 36, 9, 9, 12,aliaga
2024-11-01, , 17, 20, 15, 6, 14,aliaga
2024-11-02, , 23, 41, 9, 4, 13,aliaga
2024-11-03, , 30, 42, 4, 4, 11,aliaga
2024-11-04, , 22, 40, 7, 8, 12,aliaga
2024-11-05, , 21, , , , ,aliaga
2024-11-08, , 22, 40, 8, 7, 13,aliaga
2024-11-09, , 19, 32, 5, 6, 13,aliaga
2024-11-10, , 16, 25, 18, 6, 14,aliaga
2024-11-11, , 21, 35, 17, 9, 16,aliaga
2024-11-12, , 28, 14, 18, 11, 18,aliaga
2024-11-13, , 48, 11, 26, 6, 19,aliaga
2024-11-14, , 53, 16, 41, 4, 16,aliaga
2024-11-15, , 60, 20, 9, 4, 11,aliaga
2024-11-16, , 38, 17, 7, 4, 4,aliaga
2024-11-17, , 13, 10, 10, 4, 5,aliaga
2024-11-18, , 16, 14, 70, 5, 4,aliaga
2024-11-19, , 42, 36, 9, 6, ,aliaga
2024-11-20, , 27, 29, 15, 6, 8,aliaga
2024-11-21, , 25, 12, 20, 5, 12,aliaga
2024-11-22, , 30, , , , ,aliaga
2024-11-26, , 19, 21, 13, 8, 12,aliaga
2024-11-27, , 25, 6, 24, 6, 12,aliaga
2024-11-28, , 28, 22, 21, 9, ,aliaga
2024-11-29, , 35, 26, 13, 7, ,aliaga
2024-11-30, , 28, 27, 12, 5, 1,aliaga
2024-12-01, , 21, 17, 9, 4, 1,aliaga
2024-12-02, , 17, 16, 16, 6, ,aliaga
2024-12-03, , 42, 24, 20, 7, ,aliaga
2024-12-04, , 22, 23, 10, 6, 5,aliaga
2024-12-05, , 25, 31, 16, 6, 14,aliaga
2024-12-06, , 22, 37, 19, 6, 1,aliaga
2024-12-07, , 24, 36, 5, 4, ,aliaga
2024-12-08, , 12, 34, 8, 4, ,aliaga
2024-12-09, , 18, 35, 11, 4, 6,aliaga
2024-12-10, , 25, 32, 30, 4, 2,aliaga
2024-12-11, , 31, 26, 26, 5, 3,aliaga
2024-12-12, , 43, 25, 17, 9, 3,aliaga
2024-12-13, , 38, 23, 26, 8, 4,aliaga
2024-12-14, , 46, 33, 19, 5, 4,aliaga
2024-12-15, , 122, 29, 13, 5, 3,aliaga
2024-12-16, , 231, 16, 38, 9, 4,aliaga
2024-12-17, , 16, 17, 52, 8, 8,aliaga
2024-12-18, , 29, 15, 78, 7, 11,aliaga
2024-12-19, , 46, 27, 28, 6, 1,aliaga
2024-12-20, , 54, 38, 10, 5, 1,aliaga
2024-12-21, , 22, 24, 13, 12, ,aliaga
2024-12-22, , 13, 36, 17, 5, 1,aliaga
2024-12-23, , 12, 42, 12, 5, ,aliaga
2024-12-24, , 10, 34, 11, 4, 1,aliaga
2024-12-25, , 6, 28, 20, 9, 1,aliaga
2024-12-26, , 12, 32, 6, 4, 1,aliaga
2024-12-27, , 13, 27, 11, 5, 1,aliaga
2024-12-28, , 5, 29, 5, 4, 1,aliaga
2024-12-29, , 5, , , , ,aliaga
2024-07-02, , 37, , , , ,aliaga
2024-07-05, , 19, 38, 11, , 16,aliaga
2024-07-17, , 46, 41, 19, , 17,aliaga
2024-07-18, , 45, 40, 19, , 17,aliaga
2024-07-19, , 48, 33, 12, , 17,aliaga
2024-07-20, , 60, 41, 19, , 18,aliaga
2024-07-21, , 49, 32, 20, , 18,aliaga
2024-07-22, , 50, 28, 25, , 16,aliaga
2024-07-23, , 57, 26, , , 6,aliaga
2024-07-24, , 41, 20, 91, , 5,aliaga
2024-07-25, , 30, 26, 81, , 4,aliaga
2024-07-26, , 37, 27, , 1, 3,aliaga
2024-07-27, , 27, 26, 69, 5, 3,aliaga
2024-07-28, , 30, 21, , , 3,aliaga
2024-08-02, , 33, 29, 67, , 2,aliaga
2024-08-03, , 30, 17, 81, 1, 3,aliaga
2024-08-04, , 29, , , , ,aliaga
2024-08-05, , 36, 20, 79, , 11,aliaga
2024-08-06, , 34, 22, 84, 1, 9,aliaga
2024-08-07, , 28, 27, 80, , 10,aliaga
2024-08-08, , 25, 25, 80, , 10,aliaga
2024-09-04, , 5, 35, 15, , 2,aliaga
2024-09-05, , 26, 37, 17, 2, 1,aliaga
2024-09-06, , 38, 39, , 1, 1,aliaga
2024-09-07, , 38, 29, , , 1,aliaga
2024-09-08, , 38, 32, , , 1,aliaga
2024-09-09, , 38, 33, , , 1,aliaga
2024-09-10, , 38, 30, , , 1,aliaga
2024-09-11, , 38, 29, , , 1,aliaga
2024-09-12, , 38, 25, , , 1,aliaga
2024-09-13, , 38, 25, , , 8,aliaga
2024-09-14, , 38, 28, , 1, 5,aliaga
2024-09-22, , 16, 33, 4, 2, 9,aliaga
2024-09-23, , 16, 36, 11, 4, 13,aliaga
2024-09-24, , 31, 35, 14, 4, 14,aliaga
2024-09-25, , 46, 29, 39, 7, 12,aliaga
2024-09-26, , 50, 27, 59, 6, 7,aliaga
2024-09-27, , 39, 37, 40, 5, 8,aliaga
2024-09-28, , 44, 34, 17, 4, 12,aliaga
2024-09-29, , 35, 28, 14, 2, 12,aliaga
2024-09-30, , 21, 27, 14, 3, 4,aliaga
2024-04-01, , 54, 19, 46, , 10,aliaga
2024-04-02, , 57, , , , ,aliaga
2024-04-04, , 57, 28, 15, 24, 9,aliaga
2024-04-05, , 31, 27, 21, 22, 9,aliaga
2024-04-06, , 23, 29, 12, , 9,aliaga
2024-04-07, , 23, 32, 7, , 9,aliaga
2024-04-08, , 20, 29, 7, , 9,aliaga
2024-04-09, , 20, 24, 8, , 9,aliaga
2024-04-10, , 20, 26, 10, , 9,aliaga
2024-04-11, , 22, 24, 7, , 9,aliaga
2024-04-12, , 24, , , , ,aliaga
2024-04-14, , 28, 28, 17, 5, 10,aliaga
2024-04-15, , 25, , , , ,aliaga
2024-04-18, , 43, 25, 11, , 9,aliaga
2024-04-19, , 34, , , , ,aliaga
2024-04-21, , 13, , , , ,aliaga
2024-04-23, , 37, , , , ,aliaga
2024-04-25, , 81, , , , ,aliaga
2024-04-27, , 26, 26, 6, , 10,aliaga
2024-04-28, , 29, 28, 7, , 10,aliaga
2024-04-29, , 21, 20, 8, , 10,aliaga
2024-04-30, , 15, 23, 7, , 10,aliaga
2024-05-01, , 15, 25, 9, 25, 10,aliaga
2024-05-02, , 14, 20, , , 12,aliaga
2024-05-03, , 14, 26, 11, 2, 10,aliaga
2024-05-04, , 27, 32, 9, , 9,aliaga
2024-05-05, , 15, 29, 7, 1, 10,aliaga
2024-05-06, , 16, 27, 17, 2, 11,aliaga
2024-05-07, , 19, 18, 24, 1, 10,aliaga
2024-05-08, , 21, 19, 20, 1, 11,aliaga
2024-05-09, , 27, 19, 10, , 11,aliaga
2024-05-10, , 24, , , , ,aliaga
2024-05-12, , 17, 25, 10, , 10,aliaga
2024-05-13, , 18, , , , ,aliaga
2024-05-15, , 17, 21, 11, 3, 12,aliaga
2024-05-16, , 21, 11, , , 12,aliaga
2024-05-17, , 23, 16, 30, 2, 11,aliaga
2024-05-18, , 47, , , , ,aliaga
2024-05-20, , 36, 25, 21, 11, 12,aliaga
2024-05-21, , 31, 21, 25, 7, 12,aliaga
2024-05-22, , 30, , , , ,aliaga
2024-05-24, , 18, 20, 11, , 11,aliaga
2024-05-25, , 20, , , , ,aliaga
2024-05-27, , 31, , , , ,aliaga
2024-05-29, , 22, , , , ,aliaga
2024-05-31, , 24, , , , ,aliaga
2024-06-02, , 27, 13, 12, 2, 15,aliaga
2024-06-03, , 34, 7, 22, 7, 16,aliaga
2024-06-04, , 41, 24, 11, 2, 15,aliaga
2024-06-05, , 48, , , , ,aliaga
2024-06-07, , 46, 40, 5, , 15,aliaga
2024-06-08, , 22, 33, 2, , 14,aliaga
2024-06-09, , 22, 36, 24, 11, 16,aliaga
2024-06-10, , 27, 31, 17, 6, 16,aliaga
2024-06-11, , 26, 15, 8, 1, 17,aliaga
2024-06-12, , 49, , , , ,aliaga
2024-06-14, , 57, , , , ,aliaga
2024-06-17, , 16, 41, 2, , 14,aliaga
2024-06-18, , 17, 37, 2, , 15,aliaga
2024-06-19, , 19, 40, 2, , 15,aliaga
2024-06-20, , 20, , , , ,aliaga
2024-06-22, , 30, 36, 11, 16, 15,aliaga
2024-06-23, , 21, 28, 5, , 15,aliaga
2024-06-24, , 19, , , , ,aliaga
2024-01-01, , 61, , , , ,aliaga
2024-01-03, , 61, 21, 11, , 4,aliaga
2024-01-04, , 61, 21, 35, 4, 4,aliaga
2024-01-05, , 61, 23, 10, 1, 5,aliaga
2024-01-06, , 61, 25, , , 3,aliaga
2024-01-07, , 61, 22, 8, 1, 4,aliaga
2024-01-08, , 61, 19, 10, , 4,aliaga
2024-01-09, , 61, 22, 5, , 3,aliaga
2024-01-10, , 61, 23, 3, , 3,aliaga
2024-01-11, , 61, 20, 10, 2, 4,aliaga
2024-01-12, , 61, 26, 7, , 4,aliaga
2024-01-13, , 61, 21, 7, 2, 4,aliaga
2024-01-14, , 61, 19, , , 5,aliaga
2024-01-15, , 61, , , , ,aliaga
2024-01-17, , 61, 18, 10, , 4,aliaga
2024-02-07, , 37, , , , ,aliaga
2024-02-10, , 22, , , , ,aliaga
2024-02-12, , 18, 24, 5, , 6,aliaga
2024-02-13, , 17, 16, 11, , 7,aliaga
2024-02-14, , 30, 12, 7, , 6,aliaga
2024-02-15, , 12, 13, 7, , 6,aliaga
2024-02-16, , 6, 16, 9, , 7,aliaga
2024-02-17, , 8, , , , ,aliaga
2024-02-19, , 12, 16, 11, , 7,aliaga
2024-02-20, , 23, 15, 15, 1, 8,aliaga
2024-02-21, , 22, 13, 21, 3, 9,aliaga
2024-02-22, , 24, 20, 18, , 7,aliaga
2024-02-23, , 31, 21, 10, 1, 7,aliaga
2024-02-24, , 23, 21, 14, , 7,aliaga
2024-02-25, , 21, 18, 14, , 7,aliaga
2024-02-26, , 29, 21, 23, 1, 8,aliaga
2024-02-27, , 34, 21, 29, 2, 8,aliaga
2024-02-28, , 37, 21, 27, 5, 9,aliaga
2024-02-29, , 47, 12, 28, 2, 9,aliaga
2024-03-01, , 54, 24, 20, 1, 8,aliaga
2024-03-02, , 46, 23, 13, 13, 8,aliaga
2024-03-03, , 38, 23, 18, 4, 8,aliaga
2024-03-04, , 38, 21, 14, , 8,aliaga
2024-03-05, , 40, , , , ,aliaga
2024-03-07, , 24, 21, 14, , 8,aliaga
2024-03-08, , 31, , , , ,aliaga
2024-03-10, , 26, , , , ,aliaga
2024-03-12, , 36, , , , ,aliaga
2024-03-14, , 42, 14, 20, , 8,aliaga
2024-03-15, , 43, 24, 11, , 8,aliaga
2024-03-16, , 20, , , , ,aliaga
2024-03-19, , 21, , , , ,aliaga
2024-03-21, , 14, 24, 15, , 9,aliaga
2024-03-22, , 18, 16, 20, 1, 9,aliaga
2024-03-23, , 19, 15, 14, 3, 9,aliaga
2024-03-24, , 26, , , , ,aliaga
2024-03-26, , 27, , , , ,aliaga
2023-10-01, , 29, 32, 4, 1, 7,aliaga
2023-10-02, , 27, 30, 4, 1, 7,aliaga
2023-10-03, , 24, 26, 3, , 6,aliaga
2023-10-04, , 27, 2, 8, 7, 8,aliaga
2023-10-05, , 33, 2, 17, 7, 8,aliaga
2023-10-06, , 42, 2, 17, 6, 9,aliaga
2023-10-07, , 34, 2, 5, 2, 8,aliaga
2023-10-08, , 27, 2, 7, 4, 8,aliaga
2023-10-09, , 33, 2, 8, 1, 8,aliaga
2023-10-10, , 27, 2, 8, 6, 7,aliaga
2023-10-11, , 26, 2, 3, 1, 7,aliaga
2023-10-25, , 45, 22, 12, 5, 7,aliaga
2023-10-26, , 52, 22, 14, 3, 6,aliaga
2023-10-27, , 46, 23, 14, 2, 7,aliaga
2023-10-28, , 57, 24, 5, 1, 7,aliaga
2023-10-29, , 32, 23, 9, 2, 6,aliaga
2023-10-30, , 36, 23, 15, 5, 7,aliaga
2023-10-31, , 44, 26, 21, 6, 8,aliaga
2023-11-01, , 47, 23, 13, 2, 7,aliaga
2023-11-02, , 39, 22, 10, 1, 7,aliaga
2023-11-03, , 35, 25, 5, 1, 7,aliaga
2023-11-04, , 42, 25, , 1, 7,aliaga
2023-11-05, , 55, 28, 4, 7, 7,aliaga
2023-11-06, , 39, 26, 2, 1, 7,aliaga
2023-11-07, , 56, 15, 13, 1, 7,aliaga
2023-11-08, , 70, 26, 12, 2, 8,aliaga
2023-11-09, , 61, 18, 5, 1, 7,aliaga
2023-11-10, , 32, 15, 10, 4, 7,aliaga
2023-11-11, , 37, 21, 3, 1, 7,aliaga
2023-11-12, , 37, 24, 8, 25, 6,aliaga
2023-11-13, , 18, 22, 7, 1, 6,aliaga
2023-11-14, , 22, 15, 23, 1, 7,aliaga
2023-11-15, , 27, 26, 6, 2, 7,aliaga
2023-11-16, , 22, 22, 2, 1, 6,aliaga
2023-11-17, , 18, 9, , , 8,aliaga
2023-11-21, , 22, 20, 4, 3, 7,aliaga
2023-11-22, , 19, 20, 21, 2, 6,aliaga
2023-11-23, , 15, 10, 14, 1, 7,aliaga
2023-11-25, , 28, 32, 5, 1, 6,aliaga
2023-11-26, , 23, 25, , 1, 6,aliaga
2023-11-27, , 13, 18, 9, 3, 7,aliaga
2023-11-28, , 15, 22, 5, 2, 7,aliaga
2023-11-29, , 21, 24, 5, 1, 7,aliaga
2023-11-30, , 42, 23, 10, 2, 8,aliaga
2023-12-01, , 40, 24, 7, 2, 8,aliaga
2023-12-02, , 27, 24, 3, 2, 7,aliaga
2023-12-03, , 25, 25, 1, 2, 6,aliaga
2023-12-04, , 20, 24, 6, 1, 8,aliaga
2023-12-10, , 11, 9, 8, 3, 9,aliaga
2023-12-13, , 31, 9, 7, 3, 9,aliaga
2023-12-14, , 25, 20, 7, 4, 7,aliaga
2023-12-15, , 20, 23, 5, 4, 7,aliaga
2023-12-16, , 20, 17, 7, 2, 8,aliaga
2023-12-17, , 11, 22, 1, 1, 8,aliaga
2023-12-18, , 11, 17, 7, 4, 8,aliaga
2023-12-19, , 21, 16, 17, 9, 9,aliaga
2023-12-20, , 37, , , , ,aliaga
2023-12-21, , 27, 18, 3, 3, 9,aliaga
2023-12-22, , 14, 14, 14, 2, 9,aliaga
2023-12-23, , 15, 19, 11, 2, 9,aliaga
2023-12-24, , 17, 22, 9, 2, 8,aliaga
2023-12-25, , 22, 19, 7, 2, 9,aliaga
2023-12-26, , 33, 18, 22, 4, 9,aliaga
2023-12-27, , 39, 17, 17, 3, 9,aliaga
2023-12-28, , 35, 11, 26, 1, 4,aliaga
2023-12-29, , 60, 12, 34, 1, 6,aliaga
2023-12-30, , 61, 15, 20, , 5,aliaga
2023-12-31, , 61, 16, , 1, 4,aliaga
2023-07-01, , 15, 29, 47, 1, 12,aliaga
2023-07-02, , 31, 40, 55, 2, 13,aliaga
2023-07-03, , 39, 28, 75, 1, 12,aliaga
2023-07-04, , 48, 28, 61, 1, 12,aliaga
2023-07-05, , 43, 26, 53, 1, 12,aliaga
2023-07-06, , 43, 27, 56, 5, 11,aliaga
2023-07-07, , 43, 27, 46, 1, 11,aliaga
2023-07-08, , 42, 31, 16, 1, 10,aliaga
2023-07-09, , 34, 29, 18, 1, 10,aliaga
2023-07-10, , 32, 34, 29, 10, 11,aliaga
2023-07-11, , 49, 33, 33, 18, 11,aliaga
2023-07-12, , 60, 40, 28, 16, 13,aliaga
2023-07-13, , 64, 36, 34, 7, 6,aliaga
2023-07-14, , 73, 40, 19, 1, 6,aliaga
2023-07-15, , 57, 36, 8, 1, 5,aliaga
2023-07-16, , 31, 37, 12, 1, 4,aliaga
2023-07-17, , 23, 35, , , 5,aliaga
2023-07-18, , 25, 35, 13, 1, 4,aliaga
2023-07-19, , 20, 34, 43, 1, 5,aliaga
2023-07-20, , 23, 37, 41, 1, 6,aliaga
2023-07-21, , 42, 37, 33, 1, 6,aliaga
2023-07-22, , 38, 39, 31, 1, 7,aliaga
2023-07-23, , 37, 33, 28, , 5,aliaga
2023-07-24, , 31, 33, 32, 1, 5,aliaga
2023-07-25, , 25, 62, 44, 1, 6,aliaga
2023-07-26, , 34, 28, 34, 1, 6,aliaga
2023-07-27, , 55, 30, 25, 1, 4,aliaga
2023-07-28, , 34, 34, 23, 1, 4,aliaga
2023-07-29, , 20, 32, 26, , 4,aliaga
2023-07-30, , 18, 31, 25, 1, 5,aliaga
2023-07-31, , 16, 30, 35, , 4,aliaga
2023-08-01, , 17, 32, 33, 1, 5,aliaga
2023-08-02, , 23, 32, 39, 1, 5,aliaga
2023-08-03, , 31, 36, 42, 1, 6,aliaga
2023-08-04, , 34, 28, 36, 1, 6,aliaga
2023-08-05, , 58, 27, 32, 1, 5,aliaga
2023-08-06, , 37, 32, 29, 1, 5,aliaga
2023-08-07, , 31, 31, 26, 1, 5,aliaga
2023-08-08, , 42, 26, 18, , 4,aliaga
2023-08-09, , 29, 28, 32, 1, 5,aliaga
2023-08-10, , 19, 30, 26, 1, 5,aliaga
2023-08-11, , 19, 30, 24, 1, 4,aliaga
2023-08-12, , 18, 28, 39, 1, 5,aliaga
2023-08-13, , 27, 26, 35, , 5,aliaga
2023-08-14, , 34, 32, 21, 1, 6,aliaga
2023-08-15, , 56, 30, 7, 1, 5,aliaga
2023-08-16, , 62, 37, 7, 1, 5,aliaga
2023-08-17, , 61, 37, 7, 1, 5,aliaga
2023-08-18, , 63, 39, 4, 1, 5,aliaga
2023-08-19, , 66, 48, 2, 1, 4,aliaga
2023-08-20, , 46, 53, 3, 1, 4,aliaga
2023-08-21, , 33, 51, 6, 3, 4,aliaga
2023-08-22, , 36, 44, 12, 8, 5,aliaga
2023-08-23, , 39, 44, 6, 7, 5,aliaga
2023-08-24, , 45, 43, 6, 3, 4,aliaga
2023-08-25, , 35, 45, 7, 11, 5,aliaga
2023-08-26, , 31, 37, 2, 1, 4,aliaga
2023-08-27, , 34, 38, 4, 9, 4,aliaga
2023-08-28, , 30, 44, 8, 12, 5,aliaga
2023-08-29, , 42, 34, 12, , 4,aliaga
2023-08-30, , 39, 32, 9, 12, 4,aliaga
2023-08-31, , 38, 33, 10, 9, 4,aliaga
2023-09-01, , 33, 42, 3, 2, 4,aliaga
2023-09-02, , 32, 43, 1, 1, 3,aliaga
2023-09-03, , 25, 43, 2, 1, 2,aliaga
2023-09-04, , 19, 40, 6, 2, 43,aliaga
2023-09-05, , 21, 39, 5, 4, 500,aliaga
2023-09-06, , 28, 38, 3, 1, ,aliaga
2023-09-07, , 38, 42, 2, 2, 7,aliaga
2023-09-08, , 27, 40, 2, 1, 7,aliaga
2023-09-09, , 25, 42, 1, 1, 7,aliaga
2023-09-10, , 23, 36, 3, 1, 7,aliaga
2023-09-11, , 24, 41, 4, 1, 7,aliaga
2023-09-12, , 19, 38, 10, 10, 7,aliaga
2023-09-13, , 20, 37, 12, 11, 7,aliaga
2023-09-14, , 29, 37, 14, 8, 7,aliaga
2023-09-15, , 30, 43, 5, 2, 7,aliaga
2023-09-16, , 32, 41, 2, 1, 7,aliaga
2023-09-17, , 30, 41, 3, 1, 7,aliaga
2023-09-18, , 28, 38, 5, 6, 7,aliaga
2023-09-19, , 25, 39, 11, 8, 7,aliaga
2023-09-20, , 24, 34, 12, 7, 7,aliaga
2023-09-21, , 30, 38, 16, 11, 7,aliaga
2023-09-22, , 30, 33, 19, 8, 8,aliaga
2023-09-23, , 40, 35, 17, 7, 8,aliaga
2023-09-24, , 49, 28, 12, 4, 8,aliaga
2023-09-25, , 43, 39, 4, 1, 8,aliaga
2023-09-26, , 46, 33, 6, 2, 8,aliaga
2023-09-27, , 40, 29, 9, 4, 8,aliaga
2023-09-28, , 47, 28, 11, 3, 8,aliaga
2023-09-29, , 37, 28, 6, 4, 8,aliaga
2023-09-30, , 35, 32, 4, 1, 7,aliaga
2023-04-01, , 25, 23, 26, 6, 17,aliaga
2023-04-02, , 37, 23, 25, 6, 17,aliaga
2023-04-03, , 34, 22, 30, 7, 18,aliaga
2023-04-11, , 14, 22, 24, 6, 18,aliaga
2023-04-12, , 16, 24, 29, 12, 18,aliaga
2023-04-13, , 23, 26, 31, 9, 18,aliaga
2023-04-14, , 28, 24, 33, 7, 18,aliaga
2023-04-15, , 36, 24, 31, 7, 17,aliaga
2023-04-16, , 25, 25, 29, 8, 17,aliaga
2023-04-17, , 24, 24, 37, 6, 16,aliaga
2023-04-18, , 30, 22, 30, 1, 7,aliaga
2023-04-19, , 33, 22, 29, 9, 7,aliaga
2023-04-20, , 17, 21, 23, 9, 7,aliaga
2023-04-21, , 16, 21, 27, 11, 7,aliaga
2023-04-29, , 29, 24, 23, 6, 7,aliaga
2023-04-30, , 24, 25, 25, 9, 7,aliaga
2023-05-01, , 24, 26, 29, 5, 7,aliaga
2023-05-02, , 31, 28, 34, 11, 7,aliaga
2023-05-03, , 42, 26, 35, 3, 7,aliaga
2023-05-04, , 33, 17, 27, 1, 7,aliaga
2023-05-12, , 19, 18, 21, , 7,aliaga
2023-05-13, , 15, 22, 23, , 7,aliaga
2023-05-14, , 20, 24, 30, 4, 8,aliaga
2023-05-15, , 36, 33, 48, 6, 8,aliaga
2023-05-16, , 61, 27, 54, 15, 9,aliaga
2023-05-17, , 60, 25, 40, 12, 8,aliaga
2023-05-18, , 44, 23, 30, 4, 8,aliaga
2023-05-19, , 22, 24, 26, , 7,aliaga
2023-05-20, , 22, 23, 26, 1, 8,aliaga
2023-05-21, , 27, 23, 30, 6, 8,aliaga
2023-05-22, , 31, 23, 30, 1, 8,aliaga
2023-05-23, , 26, 24, 27, , 7,aliaga
2023-05-24, , 23, 20, 33, 4, 8,aliaga
2023-05-25, , 27, 25, 39, 7, 8,aliaga
2023-05-26, , 28, 24, 40, 6, 8,aliaga
2023-05-27, , 41, 26, 38, 2, 8,aliaga
2023-05-28, , 40, 25, 32, 1, 7,aliaga
2023-05-29, , 26, 19, 32, , 8,aliaga
2023-05-30, , 22, 19, 34, 3, 8,aliaga
2023-05-31, , 43, 26, 37, 5, 8,aliaga
2023-06-01, , 34, 33, 38, 2, 8,aliaga
2023-06-02, , 41, 24, 37, 7, 8,aliaga
2023-06-03, , 38, 27, 32, 1, 8,aliaga
2023-06-04, , 27, 24, 31, , 8,aliaga
2023-06-05, , 27, 25, 32, , 7,aliaga
2023-06-06, , 40, 25, 38, 4, 7,aliaga
2023-06-23, , 55, 32, 50, 2, 11,aliaga
2023-06-24, , 48, 34, 58, 2, 12,aliaga
2023-06-25, , 38, 35, 58, 1, 13,aliaga
2023-06-26, , 30, 28, 53, 1, 12,aliaga
2023-06-27, , 23, 26, 37, 1, 12,aliaga
2023-06-28, , 20, 27, 47, 6, 12,aliaga
2023-06-29, , 18, 27, 51, 1, 12,aliaga
2023-06-30, , 16, 27, 39, 1, 11,aliaga
2023-02-13, , 23, 21, 18, 7, 15,aliaga
2023-02-14, , 23, 23, 27, 8, 15,aliaga
2023-02-15, , 26, 21, 21, 7, 15,aliaga
2023-02-16, , 25, 22, 29, 9, 15,aliaga
2023-02-17, , 30, 21, 35, 8, 16,aliaga
2023-02-18, , 35, 22, 31, 7, 15,aliaga
2023-02-19, , 29, 24, 24, 6, 16,aliaga
2023-02-27, , 32, 21, 37, 9, 15,aliaga
2023-02-28, , 46, 11, 42, 8, 17,aliaga
2023-03-01, , 50, 17, 37, 7, 16,aliaga
2023-03-02, , 47, 15, 28, 6, 17,aliaga
2023-03-03, , 33, 19, 30, 7, 17,aliaga
2023-03-04, , 29, 17, 28, 6, 17,aliaga
2023-03-05, , 26, 22, 21, 6, 16,aliaga
